PX409-USBH - 487885,,PX409-USBH - 487884,
Units:,psi,Units:,psi
Custom Scalar:,none,Custom Scalar:,none
Custom Offset:,none,Custom Offset:,none
Start:,2025-07-28 11:27:04.244,Start:,2025-07-28 11:27:04.114
End:,2025-07-28 01:41:03.461,End:,2025-07-28 01:41:03.388
Count:,40464,Count:,40455
Low:,-14.6091842651367,Low:,-15.5867481231689
High:,1521.8125,High:,1518.83020019531

Time,Value,Time,Value
2025-07-28 11:27:15.171 AM,-14.4684143066406,2025-07-28 11:27:15.044 AM,-15.3874397277832
2025-07-28 11:27:15.370 AM,-14.4448165893555,2025-07-28 11:27:15.243 AM,-15.3850002288818
2025-07-28 11:27:15.569 AM,-14.4366798400879,2025-07-28 11:27:15.442 AM,-15.3882541656494
2025-07-28 11:27:15.767 AM,-14.4301700592041,2025-07-28 11:27:15.641 AM,-15.4118461608887
2025-07-28 11:27:15.966 AM,-14.4269161224365,2025-07-28 11:27:15.839 AM,-15.4045238494873
2025-07-28 11:27:16.165 AM,-14.450511932373,2025-07-28 11:27:16.038 AM,-15.4110317230225
2025-07-28 11:27:16.363 AM,-14.4708557128906,2025-07-28 11:27:16.237 AM,-15.4069633483887
2025-07-28 11:27:16.562 AM,-14.4423751831055,2025-07-28 11:27:16.435 AM,-15.4069633483887
2025-07-28 11:27:16.761 AM,-14.4212188720703,2025-07-28 11:27:16.634 AM,-15.4216079711914
2025-07-28 11:27:16.959 AM,-14.4407482147217,2025-07-28 11:27:16.833 AM,-15.4037094116211
2025-07-28 11:27:17.158 AM,-14.4496994018555,2025-07-28 11:27:17.032 AM,-15.4134731292725
2025-07-28 11:27:17.357 AM,-14.4562091827393,2025-07-28 11:27:17.230 AM,-15.4151000976563
2025-07-28 11:27:17.555 AM,-14.4765510559082,2025-07-28 11:27:17.429 AM,-15.4045238494873
2025-07-28 11:27:17.754 AM,-14.460277557373,2025-07-28 11:27:17.628 AM,-15.4175395965576
2025-07-28 11:27:17.953 AM,-14.4472579956055,2025-07-28 11:27:17.827 AM,-15.3923206329346
2025-07-28 11:27:18.151 AM,-14.4448165893555,2025-07-28 11:27:18.025 AM,-15.3906936645508
2025-07-28 11:27:18.350 AM,-14.4562091827393,2025-07-28 11:27:18.224 AM,-15.4126586914063
2025-07-28 11:27:18.549 AM,-14.4407482147217,2025-07-28 11:27:18.423 AM,-15.4077777862549
2025-07-28 11:27:18.747 AM,-14.4309844970703,2025-07-28 11:27:18.621 AM,-15.422420501709
2025-07-28 11:27:18.946 AM,-14.4334259033203,2025-07-28 11:27:18.820 AM,-15.4004554748535
